Time,Longitude,Altitude,Roll,Pitch,Heading,GroundAltitude
820.717,32.9083334,4159.64887,-5.458897213,4.214474312,332.097813,510.4106071
821.717,32.90795805,4173.588278,-3.936446766,4.366515177,331.2896377,539.0883145
822.717,32.90757929,4189.112778,-0.550995309,3.826899924,330.4416287,546.6066611
823.717,32.90720153,4205.620143,1.398400871,4.473476793,329.8499431,542.3493412
824.717,32.90682807,4222.903526,2.689322526,3.932641497,330.2886052,539.6455658
825.717,32.90646063,4239.779589,2.035157743,2.651337923,330.7312014,537.1679476
826.717,32.906096,4254.460387,-3.648518007,1.715989833,330.0444122,532.6310659
827.717,32.90572674,4264.769888,0.05524809286,-1.256052685,330.4161385,523.7023976
828.717,32.90535763,4270.956053,7.09702417,0.311686985,325.0650951,510.5110317
829.717,32.90499068,4279.392385,7.413862132,4.744478209,327.6163346,499.4304451
830.717,32.90463214,4290.973603,0.06526527897,-0.4430463303,333.0479469,491.5491792
831.717,32.90427589,4296.239304,-0.1232404382,-6.837935031,331.8594121,475.7796606
832.717,32.90391334,4290.999096,5.456718383,-7.019754667,331.1305216,459.7408012
833.717,32.90355002,4280.010957,8.18909714,-4.644985831,327.3391929,471.154406
834.717,32.90318431,4270.024051,3.9696052,-2.756548876,330.0876064,483.8093409
835.717,32.90281908,4264.453403,0.6654041793,-0.124285644,329.3803539,499.5069527
836.717,32.902449,4264.842005,0.5459083656,0.8997983424,329.8623467,521.7517219
837.717,32.90207565,4268.721155,1.309593471,-0.4849987663,329.4216902,546.2442937
838.717,32.90169871,4273.897316,2.475809959,0.2746531923,328.9789027,571.2143779
839.717,32.90131866,4279.366755,1.130947312,-0.595647564,329.6992418,596.5277798
840.717,32.9009352,4284.372507,0.1987484863,-0.4057456267,328.8569975,610.1115423
841.717,32.90054566,4289.733497,0.4873241255,0.724080787,328.7039466,607.2909374
842.717,32.90015191,4296.841337,1.098293992,1.061618971,328.4659555,606.218185
843.717,32.8997552,4304.705831,2.155650604,0.1325877389,328.4368589,605.8996265
844.717,32.89935785,4313.352224,6.000244773,1.456247237,328.2164624,606.1029025
845.717,32.89896379,4322.979204,3.854783317,0.6923265438,329.2595689,604.5535142
846.717,32.89857386,4333.454318,5.696495162,2.049709034,328.784215,603.6393337
847.717,32.89818823,4345.333202,5.630787461,1.821667374,329.9118519,604.0617615
848.717,32.89780854,4357.702539,3.853137241,1.255050248,330.210659,604.802452
849.717,32.89743178,4370.406759,3.994068377,2.302601697,330.1774643,605.9490964
850.717,32.89705731,4383.322795,3.742996599,0.9322218907,330.8593358,609.5745575
851.717,32.89668452,4394.617764,3.470341851,-0.1483125953,330.811142,611.5319936
852.717,32.89631144,4403.753361,3.36470273,0.1808261233,330.893514,611.3462326
853.717,32.89593817,4412.286788,3.632045726,0.6704427245,331.5484199,610.5985214
854.717,32.89556734,4421.361814,3.878035415,1.064213269,330.367207,610.2097621
855.717,32.89519702,4431.340646,3.235929332,1.435369163,330.4806701,593.8886266
856.717,32.89482739,4442.952869,3.194401141,2.62957075,330.80953,572.876725
857.717,32.89445949,4455.850494,4.491767613,1.157503728,331.7014981,553.2235614
858.717,32.89409214,4465.766178,2.742296619,-2.794798789,334.7789081,530.5109055
859.717,32.89372597,4469.772595,0.6697924691,-2.021597043,334.0228062,504.9495081
860.717,32.89335855,4472.484013,5.378012405,0.5081898198,331.6808982,482.5978306
861.717,32.8929915,4478.15669,1.752859194,0.8905064036,332.2293898,460.8422022
862.717,32.89262484,4486.259762,3.612105415,1.661848951,331.8832631,441.5729364
863.717,32.89226209,4498.030869,7.808031495,4.152746478,330.8133276,425.9827916
864.717,32.89190819,4514.451786,4.881765438,3.988990558,332.9385546,415.3140666
865.717,32.89156223,4533.111361,2.504294622,3.691829518,332.3912106,415.2666484
866.717,32.89121866,4553.801568,2.900110061,5.102841159,332.2096915,420.7463859
867.717,32.89087631,4575.361658,-0.6536786655,3.374616109,332.7783457,429.3912821
868.717,32.89053097,4596.385471,-0.01693786029,4.157102858,332.4671623,446.4649809
869.717,32.8901835,4616.847729,3.754446984,3.641435528,332.1947197,469.8653375
870.717,32.88984058,4637.656582,8.019716987,4.814872273,331.6683853,488.6870081
871.717,32.88950697,4659.117333,7.552737807,4.182071895,333.084748,484.0281203
872.717,32.88918439,4680.515853,6.374481937,4.137376844,333.2350395,479.4513059
873.717,32.88887014,4702.564081,5.83889991,5.133605612,333.9529197,475.5956148
874.717,32.88856315,4724.321817,4.880971002,2.757229547,334.6943504,474.7448545
875.717,32.88826061,4744.178916,3.109102537,3.101833508,334.1939434,475.6499496
876.717,32.8879589,4763.28364,3.41180158,3.824620775,334.7132564,475.7409557
877.717,32.88765984,4782.402421,4.125810346,2.930065563,334.5094981,451.9187494
878.717,32.88736295,4800.335157,4.586667542,2.005647057,334.7385281,422.8555716
879.717,32.88706964,4816.741825,8.290707303,2.281317334,334.2059645,404.4228747
880.717,32.88678322,4832.850745,6.62798825,3.071143761,334.3472402,383.7188604
881.717,32.88650093,4847.947033,2.719415485,0.5434829014,336.5109621,343.9482528
882.717,32.8862198,4861.737031,3.457912827,2.176943079,334.7372713,283.8417914
883.717,32.88593983,4878.04039,7.04775887,5.894600957,334.646785,250.5609103
884.717,32.88566729,4899.161563,1.834785819,5.025306132,336.1435799,231.8095619
885.717,32.88539832,4920.652868,7.288569995,1.485777027,335.9706395,221.4747718
886.717,32.88513691,4938.917218,18.85499504,2.166581041,335.1149534,239.2788505
887.717,32.88490185,4955.904473,31.73204119,5.191401392,338.6073111,267.7621721
888.717,32.88471776,4973.393774,26.81406934,5.169722798,343.6471438,299.1011658
889.717,32.88457657,4988.995352,17.2930042,-0.13948627,347.2895471,330.3655922
890.717,32.88445798,4998.860585,9.918629958,-2.965128553,349.2377902,343.9382011
891.717,32.88434996,5002.633873,10.85671461,-2.842136483,350.2060925,330.5054761
892.717,32.88425555,5004.025744,16.32610214,-0.4338679968,350.4167082,314.9507007
893.717,32.88418368,5006.502057,19.49375775,0.2780785856,353.5987567,285.6996707
894.717,32.88414137,5010.594408,10.32303265,0.2681917534,355.8241963,248.4069591
895.717,32.88411175,5015.23775,-3.903915429,-1.173172075,356.620569,212.1905428
896.717,32.8840674,5018.901834,-17.81977401,-1.507936615,354.9640569,182.4852933
897.717,32.88398346,5021.346173,-22.27405114,-0.9534803209,351.3593836,192.1869506
898.717,32.88384846,5023.266154,-19.40779299,-0.7031189898,345.6508754,195.8290413
899.717,32.88366159,5025.860475,-18.14124369,-0.2929327262,342.6367676,190.757845
900.717,32.88342806,5030.083185,-19.50528711,0.3947761295,338.6506418,197.0733282
901.717,32.88314679,5035.673744,-20.55182065,0.6729564475,334.7269714,203.7377709
902.717,32.88281799,5041.849432,-20.75867463,0.3782927219,331.0303364,201.8498547
903.717,32.88244304,5048.13669,-21.28747812,0.323626289,326.8290324,196.5901764
904.717,32.8820224,5054.443467,-22.11336069,0.2851991378,323.0419111,200.1352087
905.717,32.88155786,5059.777601,-22.10394528,-1.001780324,319.5904799,208.1670223
906.717,32.88105259,5062.237948,-17.52008067,-2.444318091,316.2896407,257.6519122
907.717,32.8805145,5060.890807,-7.411606462,-3.116326316,312.7289538,344.8936453
908.717,32.87995302,5061.683273,-5.44302983,3.523012641,309.3355792,410.4151147
909.717,32.87937939,5067.692242,-0.695676805,0.2501837728,313.1008713,493.573926
910.717,32.87880104,5069.983196,0.5719044924,-6.457066181,312.4794606,576.2633829
911.717,32.87821243,5063.178263,5.657764147,-5.373065641,311.3076734,624.8813254
912.717,32.87761608,5051.025467,5.887748996,-4.86439584,310.7756563,646.5558031
913.717,32.87701267,5037.107411,2.672721964,-4.018974235,311.7670173,703.956462
914.717,32.87640126,5024.845295,1.183677119,-2.578397052,314.7281775,766.0039059
915.717,32.87578551,5012.790623,0.1030510994,-5.13959953,315.7979217,809.0281634
916.717,32.87516303,4998.463158,0.3760753117,-3.494409303,315.9354271,854.1692614
917.717,32.87453644,4989.245675,1.221840695,2.79445856,315.5981523,856.7669427
918.717,32.87391499,4990.367794,-0.9603377241,4.051488496,314.720637,869.7244348
919.717,32.87329999,5005.594826,-3.305085851,11.38217045,317.2959734,930.0563606
920.717,32.8727009,5034.084212,-0.9526655006,9.442584556,318.2391679,981.6704475
921.717,32.8721188,5072.045866,1.301036951,11.95975515,321.8606981,1026.449899
922.717,32.8715627,5115.542802,8.622183214,10.67460725,322.0230654,1087.591441
923.717,32.87104205,5164.750832,21.01312479,12.55931428,325.740109,1177.372647
924.717,32.87059261,5221.54092,40.00136146,16.90347339,331.4069803,1249.070401
925.717,32.87026588,5286.406397,49.50163209,19.47607951,347.4401937,1322.39707
926.717,32.8701015,5354.735665,58.42367597,19.48499291,4.008452328,1431.833504
927.717,32.87010459,5419.538205,66.41423232,15.18196007,19.80408739,1517.112578
928.717,32.87025872,5473.400583,72.15163903,5.576400372,33.44525412,1582.537904
929.717,32.87053783,5509.896437,73.13622446,-5.99890691,46.01218065,1631.37831
930.717,32.87091504,5525.570866,68.295444,-13.00293165,63.20993103,1671.634539
931.717,32.87136494,5522.367594,59.62648594,-9.170048909,83.1487422,1692.155663
932.717,32.87185057,5510.222401,36.61221135,-2.064174734,96.99285263,1699.623551
933.717,32.87234838,5495.481619,11.16398774,-14.83864403,96.7470751,1687.88203
934.717,32.8728755,5477.8273,-7.704817091,-15.59667038,116.8021498,1640.359443
935.717,32.87343113,5455.495983,3.196773138,-10.58399454,113.9988215,1595.514429
936.808,32.87398744,5441.070124,7.906366582,3.20805661,106.970632,1548.828697
937.717,32.87455859,5448.736335,-3.119148892,21.91709691,98.99506111,1522.887754
938.717,32.87504044,5484.442314,-15.65921271,35.89368911,93.80391244,1530.342403
939.717,32.87540251,5537.324086,-28.62748627,38.82281915,89.08963391,1560.652734
940.717,32.87569597,5589.386145,-27.89558369,18.38364369,102.0334093,1593.29957
941.717,32.87597812,5630.789396,-20.78068492,9.810993007,107.2096135,1618.504403
942.717,32.87626901,5661.5223,11.32423679,-9.946497984,116.1835942,1632.555147
943.717,32.8765743,5688.274689,20.18981721,-25.1614436,119.2079609,1641.005613
944.717,32.87689935,5708.510442,22.84409873,-23.04459893,124.2571373,1648.387547
945.717,32.8772342,5725.44993,33.92665268,-12.51414112,133.209917,1653.915974
946.717,32.87753952,5745.313285,38.63487966,-7.366944709,146.5286493,1661.523084
947.717,32.87777956,5764.730888,47.16498339,-9.839245231,136.787939,1669.699304
948.717,32.87798088,5774.191432,56.79495248,-24.0693749,128.4110671,1666.693541
949.717,32.87816624,5764.845154,38.31517217,-28.83489009,146.2543353,1643.233466
950.717,32.87832768,5739.876546,24.06319358,-15.14785523,158.8348061,1602.286215
951.717,32.87846448,5713.596843,10.18808604,-11.44408355,163.0436779,1562.641031
952.717,32.87859784,5690.904423,-3.867068266,-15.44075423,173.7994773,1530.31024
953.717,32.87873136,5659.296596,-2.097231356,-28.2345933,168.293375,1487.285731
954.717,32.87887736,5607.76614,3.255017576,-31.84443878,167.6736036,1424.098763
955.717,32.87903545,5541.556662,-2.042003727,-22.54379751,172.5646338,1327.784743
956.717,32.87920057,5472.405399,-1.597596722,-19.5963711,170.011509,1224.99829
